Date,Day_of_the_week,App,Minutes,Category
8/27/2023,Sunday,TIKTOK ,210,Social Media
8/27/2023,Sunday,MESSAGES,57,Social Media
8/27/2023,Sunday,DOCS,37,Other
8/27/2023,Sunday,INSTAGRAM,37,Social Media
8/28/2023,Monday,TIKTOK ,152,Social Media
8/28/2023,Monday,MESSAGES,172,Social Media
8/28/2023,Monday,INSTAGRAM,47,Social Media
8/28/2023,Monday,ZOOM,26,Other
8/28/2023,Monday,DOCS,25,Other
8/29/2023,Tuesday,TIKTOK ,196,Social Media
8/29/2023,Tuesday,MESSAGES,42,Social Media
8/29/2023,Tuesday,DESMOS,39,Education
8/29/2023,Tuesday,INSTAGRAM,33,Social Media
8/29/2023,Tuesday,PHOTOS,21,Other
8/30/2023,Wednesday,DESMOS,87,Education
8/30/2023,Wednesday,INSTAGRAM,84,Social Media
8/30/2023,Wednesday,TIKTOK ,70,Social Media
8/30/2023,Wednesday,MESSAGES,38,Other
8/30/2023,Wednesday,SAFARI,29,Other
8/31/2023,Thursday,TIKTOK ,150,Social Media
8/31/2023,Thursday,NETFLIX,58,Entertainment
8/31/2023,Thursday,DESMOS,53,Education
8/31/2023,Thursday,MESSAGES,28,Other
8/31/2023,Thursday,YOUTUBE,24,Entertainment
9/1/2023,Friday,TIKTOK ,144,Social Media
9/1/2023,Friday,MESSAGES,76,Other
9/1/2023,Friday,INSTAGRAM,59,Social Media
9/1/2023,Friday,GMAIL,7,Other
9/1/2023,Friday,CAMERA,4,Other
9/2/2023,Saturday,TIKTOK ,132,Social Media
9/2/2023,Saturday,NETFLIX,128,Social Media
9/2/2023,Saturday,INSTAGRAM,75,Social Media
9/2/2023,Saturday,YOUTUBE,42,Entertainment
